time, R
1.764676,0.801938
1.767381,0.801770
1.770148,0.801607
1.772985,0.801449
1.775899,0.801297
1.778898,0.801151
1.781994,0.801011
1.785199,0.800878
1.788531,0.800753
1.792013,0.800636
1.795673,0.800528
1.799555,0.800431
1.803721,0.800348
1.808272,0.800279
1.813395,0.800232
1.819530,0.800217
1.828808,0.800278
1.835726,0.800391
1.841913,0.800539
1.847221,0.800703
1.851838,0.800872
1.855963,0.801045
1.859734,0.801220
1.863247,0.801399
1.866563,0.801581
1.869726,0.801766
1.872762,0.801955
1.875693,0.802147
1.878534,0.802343
1.881297,0.802543
1.883990,0.802746
1.886621,0.802952
1.889195,0.803162
1.891718,0.803374
1.894194,0.803590
1.896626,0.803809
1.899018,0.804031
1.901371,0.804256
1.903690,0.804483
1.905976,0.804713
1.908230,0.804946
1.910456,0.805181
1.912653,0.805419
1.914824,0.805659
1.916971,0.805902
1.919093,0.806147
1.921193,0.806394
1.923271,0.806643
1.925328,0.806895
1.927366,0.807148
1.929384,0.807404
1.931385,0.807662
1.933368,0.807922
1.935334,0.808183
1.937283,0.808447
1.939217,0.808713
1.941136,0.808980
1.943041,0.809250
1.944931,0.809521
1.946808,0.809794
1.948671,0.810068
1.950522,0.810345
1.952360,0.810623
1.954186,0.810902
1.956001,0.811184
1.957804,0.811467
1.959597,0.811751
1.961378,0.812037
1.963149,0.812325
1.964910,0.812614
1.966661,0.812905
1.968403,0.813197
1.970135,0.813490
1.971858,0.813785
1.973572,0.814082
1.975278,0.814379
1.976975,0.814679
1.978664,0.814979
1.980344,0.815281
1.982017,0.815584
1.983682,0.815889
1.985340,0.816195
1.986990,0.816502
1.988633,0.816810
1.990268,0.817119
1.991897,0.817430
1.993519,0.817742
1.995135,0.818055
1.996744,0.818370
1.998347,0.818685
1.999943,0.819002
2.001533,0.819320
2.003118,0.819639
2.004696,0.819959
2.006269,0.820280
2.007836,0.820602
2.009397,0.820926
2.010953,0.821250
2.012504,0.821576
2.014049,0.821902
2.015589,0.822230
2.017125,0.822558
2.018655,0.822888
2.020180,0.823218
2.021701,0.823550
2.023216,0.823882
2.024727,0.824216
2.026234,0.824550
2.027736,0.824886
2.029233,0.825222
2.030727,0.825559
2.032216,0.825897
2.033701,0.826237
2.035181,0.826577
2.036658,0.826917
2.038130,0.827259
2.039599,0.827602
2.041064,0.827945
2.042524,0.828290
2.043982,0.828635
2.045435,0.828981
2.046885,0.829328
2.048331,0.829675
2.049773,0.830024
2.051212,0.830373
2.052648,0.830723
2.054080,0.831074
2.055509,0.831426
2.056935,0.831778
2.058357,0.832131
2.059776,0.832485
2.061192,0.832840
2.062605,0.833196
2.064015,0.833552
2.065422,0.833909
2.066825,0.834266
2.068226,0.834625
2.069624,0.834984
2.071019,0.835344
2.072411,0.835704
2.073801,0.836065
2.075187,0.836427
2.076571,0.836790
2.077952,0.837153
2.079331,0.837517
2.080707,0.837882
2.082080,0.838247
2.083451,0.838613
2.084819,0.838979
2.086185,0.839346
2.087549,0.839714
2.088910,0.840083
2.090268,0.840452
2.091624,0.840821
2.092978,0.841191
2.094330,0.841562
2.095679,0.841934
2.097026,0.842306
2.098371,0.842678
2.099714,0.843052
2.101054,0.843425
2.102393,0.843800
2.103729,0.844175
2.105063,0.844550
2.106395,0.844926
2.107725,0.845303
2.109053,0.845680
2.110379,0.846058
2.111703,0.846436
2.113025,0.846815
2.114346,0.847194
2.115664,0.847574
2.116980,0.847954
2.118295,0.848335
2.119608,0.848716
2.120919,0.849098
2.122228,0.849481
2.123535,0.849863
2.124841,0.850247
2.126145,0.850631
2.127447,0.851015
2.128747,0.851400
2.130046,0.851785
2.131343,0.852171
2.132639,0.852557
2.133933,0.852944
2.135225,0.853331
2.136516,0.853718
2.137805,0.854106
2.139093,0.854495
2.140379,0.854884
2.141664,0.855273
2.142947,0.855663
2.144229,0.856053
2.145509,0.856444
2.146788,0.856835
2.148065,0.857226
2.149341,0.857618
2.150615,0.858011
2.151888,0.858403
2.153160,0.858797
2.154431,0.859190
2.155700,0.859584
2.156968,0.859978
2.158234,0.860373
2.159499,0.860768
2.160763,0.861164
2.162026,0.861560
2.163287,0.861956
2.164547,0.862352
2.165806,0.862749
2.167064,0.863147
2.168321,0.863545
2.169576,0.863943
2.170830,0.864341
2.172083,0.864740
2.173335,0.865139
2.174586,0.865538
2.175835,0.865938
2.177084,0.866338
2.178331,0.866739
2.179578,0.867140
2.180823,0.867541
2.182067,0.867943
2.183310,0.868344
2.184552,0.868746
2.185793,0.869149
2.187034,0.869552
2.188273,0.869955
2.189511,0.870358
2.190748,0.870762
2.191984,0.871166
2.193219,0.871570
2.194453,0.871975
2.195686,0.872380
2.196919,0.872785
2.198150,0.873191
2.199381,0.873596
2.200610,0.874003
2.201839,0.874409
2.203067,0.874816
2.204294,0.875222
2.205520,0.875630
2.206745,0.876037
2.207969,0.876445
2.209193,0.876853
2.210416,0.877261
2.211638,0.877670
2.212859,0.878078
2.214079,0.878488
2.215299,0.878897
2.216517,0.879306
2.217735,0.879716
2.218952,0.880126
2.220169,0.880537
2.221385,0.880947
2.222600,0.881358
2.223814,0.881769
2.225027,0.882180
2.226240,0.882592
2.227452,0.883003
2.228663,0.883415
2.229874,0.883827
2.231084,0.884240
2.232294,0.884652
